Stock_code,Sector,Name,trading_days,total_days,trading_frequency,mean_return,std_return,volatility_7d,volatility_30d,max_drawdown,avg_volume,zero_volume_ratio,momentum_30d,current_price,Cluster
ABSA,Banking,ABSA Bank Kenya Plc,988,988,1.0,0.0007426386293753021,0.01363777278174811,0.011134693557669726,0.012540794730794738,-0.2362204724409449,457918.016194332,0.0,0.16077170418006426,18.05,2
BAMB,Construction and Allied,Bamburi Cement Ltd,974,988,0.9858299595141701,0.0009007750097960068,0.02800734241164681,0.021977522976105383,0.02415674277520706,-0.5145631067961165,233655.66735112938,0.01417004048582996,-0.17602996254681647,55.0,2
BAT,Manufacturing and Allied,British American Tobacco Kenya Plc,936,988,0.9473684210526315,0.00012557438169524576,0.013762137756787876,0.010576442047128551,0.012213282160988825,-0.3482318271119843,19173.61111111111,0.05263157894736842,0.05915492957746471,376.0,2
BKG,Banking,BK Group Plc,592,988,0.5991902834008097,0.0019225471496631653,0.038371699996179495,0.025778184852516317,0.028502369491367786,-0.39249999999999996,86221.11486486487,0.4008097165991903,-0.012139605462822667,32.55,0
BOC,Manufacturing and Allied,BOC Kenya Plc,402,988,0.4068825910931174,0.001757578565633868,0.0427062826931928,0.021543759870754773,0.026052631560959133,-0.30294906166219837,10246.268656716418,0.5931174089068826,-0.002808988764044895,88.75,0
BRIT,Insurance,Britam Holdings Plc,987,988,0.9989878542510121,0.00010881658888944157,0.02452947152748082,0.02308531998139973,0.023618760854439178,-0.5167064439140812,284283.3839918946,0.0010121457489878543,-0.02684563758389269,5.8,2
CABL,Construction and Allied,East African Cables Ltd,982,988,0.9939271255060729,0.0003192520780891647,0.0342001199812293,0.03328066956300642,0.03378382939045435,-0.5437500000000001,19543.48268839104,0.006072874493927126,-0.027027027027027084,1.08,0
CARB,Manufacturing and Allied,Carbacid Investments Plc,977,988,0.9888663967611336,0.0008202078125180536,0.02292154817730213,0.02037889405569985,0.02177838814236651,-0.3049792531120332,46457.42067553736,0.011133603238866396,0.05012531328320802,20.95,2
CGEN,Automobiles and Accessories,Car and General (K) Ltd,571,988,0.5779352226720648,0.0008828369097124322,0.04919687392029904,0.031766698218706285,0.03625082904113124,-0.7519736842105263,1480.7355516637479,0.42206477732793524,0.008869179600886845,22.75,0
CIC,Insurance,CIC Insurance Group Ltd,988,988,1.0,0.0003640412346890763,0.026326090432004474,0.02457691013568543,0.025869057128300454,-0.504424778761062,125437.24696356275,0.0,-0.04867256637168138,2.15,2
COOP,Banking,Co-operative Bank of Kenya Ltd,988,988,1.0,0.00036886700095791386,0.013685212186322264,0.011338749772792412,0.01268608161207463,-0.2688172043010753,532707.2874493927,0.0,0.12286689419795205,16.45,2
CRWN,Construction and Allied,Crown Paints Kenya Plc,680,988,0.6882591093117408,0.0006103056150832672,0.03568517172898551,0.02550498528646287,0.028233393074464038,-0.5408878504672897,4541.470588235294,0.3117408906882591,0.04444444444444451,32.9,0
CTUM,Investment,Centum Investment Company Plc,988,988,1.0,-0.0002770529798367764,0.021773198067554556,0.018776078956394018,0.020320488865135815,-0.5622222222222223,134417.71255060728,0.0,0.03347280334728042,9.88,2
DTK,Banking,Diamond Trust Bank Kenya Ltd,963,988,0.9746963562753036,5.2866502485412246e-05,0.01859686916939758,0.01580506223280231,0.017314831673638585,-0.44193548387096776,50471.02803738318,0.025303643724696356,0.32057416267942584,69.0,2
EABL,Manufacturing and Allied,East African Breweries Ltd,985,988,0.9969635627530364,0.00037921607657601347,0.022574894171807233,0.017303975912433246,0.019730817633783728,-0.4838709677419355,181076.75126903554,0.003036437246963563,-0.03438789546079779,175.5,2
EGAD,Agricultural,Eaagads Ltd,495,988,0.5010121457489879,0.0009036364402472375,0.04444516214071947,0.026965710318729956,0.030239194894955843,-0.3333333333333333,1927.0707070707072,0.49898785425101216,-0.004149377593361092,12.0,0
EQTY,Banking,Equity Group Holdings Plc,988,988,1.0,0.00039979816254085906,0.014778849788541056,0.01209721174254426,0.014063891942776286,-0.3797235023041475,1303727.1255060728,0.0,-0.03400000000000003,48.3,2
EVRD,Commercial and Services,Eveready East Africa Ltd,972,988,0.9838056680161943,0.000775434794407437,0.041972083743115396,0.04043744044978637,0.04153353956647092,-0.5196850393700787,12168.20987654321,0.016194331983805668,0.05504587155963292,1.15,0
FAHR,Real Estate Investment Trusts,Stanlib Fahari Income-REIT,351,352,0.9971590909090909,0.00023022880618958264,0.027312123391599382,0.024785961432878353,0.026184630896334625,-0.26388888888888895,32331.62393162393,0.002840909090909091,-0.1446153846153847,5.56,2
FTGH,Manufacturing and Allied,Flame Tree Group Holdings Ltd,911,988,0.9220647773279352,0.0006033472936947629,0.03678490768621965,0.03386175022513009,0.03497819271968793,-0.3776223776223776,10066.410537870472,0.07793522267206478,0.05263157894736836,1.0,0
GLD,Exchange Traded Funds,ABSA NewGold ETF,53,988,0.053643724696356275,0.009350663024490075,0.043911026030903307,0.004483590678371948,0.007652794494226648,-0.14355628058727568,12220.754716981131,0.9463562753036437,0.012422360248447228,3260.0,1
HAFR,Investment,Home Afrika Ltd,983,988,0.9949392712550608,0.0006373050269537646,0.03918641831581399,0.03898341391404426,0.039206511996523,-0.39999999999999997,75046.59206510682,0.005060728744939271,0.05714285714285716,0.37,0
